500	2500	PairSmallest
d	sum	lb	lbsoln	i/s	opt
1	290320	117	500	1	4.2735
1	289126	116	500	1	4.31034
1	288623	116	500	1	4.31034
1	294851	118	500	1	4.23729
1	288117	116	500	1	4.31034
1	287024	115	500	1	4.34783
1	287832	116	500	1	4.31034
1	285234	115	500	1	4.34783
1	289418	116	500	1	4.31034
1	284855	114	500	1	4.38596
1	285878	115	500	1	4.34783
1	285512	115	500	1	4.34783
1	290761	117	500	1	4.2735
1	287459	115	500	1	4.34783
1	280319	113	500	1	4.42478
1	287531	116	500	1	4.31034
1	283764	114	500	1	4.38596
1	299333	120	500	1	4.16667
1	290740	117	500	1	4.2735
1	293643	118	500	1	4.23729
1	277178	111	500	1	4.5045
1	291115	117	500	1	4.2735
1	299461	120	500	1	4.16667
1	289453	116	500	1	4.31034
1	292318	117	500	1	4.2735
1	295554	119	500	1	4.20168
1	280174	113	500	1	4.42478
1	290260	117	500	1	4.2735
1	286294	115	500	1	4.34783
1	278884	112	500	1	4.46429
1	289368	116	500	1	4.31034
1	296875	119	500	1	4.20168
1	292131	117	500	1	4.2735
1	277033	111	500	1	4.5045
1	286471	115	500	1	4.34783
1	280559	113	500	1	4.42478
1	274395	110	500	1	4.54545
1	285655	115	500	1	4.34783
1	276810	111	500	1	4.5045
1	285778	115	500	1	4.34783
1	286534	115	500	1	4.34783
1	292171	117	500	1	4.2735
1	305584	123	500	1	4.06504
1	289178	116	500	1	4.31034
1	285472	115	500	1	4.34783
1	278638	112	500	1	4.46429
1	288493	116	500	1	4.31034
1	295248	119	500	1	4.20168
1	287258	115	500	1	4.34783
1	278790	112	500	1	4.46429
1	287096	115	500	1	4.34783
1	289055	116	500	1	4.31034
1	284387	114	500	1	4.38596
1	284904	114	500	1	4.38596
1	291408	117	500	1	4.2735
1	288905	116	500	1	4.31034
1	298256	120	500	1	4.16667
1	293201	118	500	1	4.23729
1	283648	114	500	1	4.38596
1	282954	114	500	1	4.38596
1	292691	118	500	1	4.23729
1	288040	116	500	1	4.31034
1	290617	117	500	1	4.2735
1	293455	118	500	1	4.23729
1	287476	115	500	1	4.34783
1	286063	115	500	1	4.34783
1	284786	114	500	1	4.38596
1	285436	115	500	1	4.34783
1	285253	115	500	1	4.34783
1	273468	110	500	1	4.54545
1	291632	117	500	1	4.2735
1	283591	114	500	1	4.38596
1	286746	115	500	1	4.34783
1	299263	120	500	1	4.16667
1	288342	116	500	1	4.31034
1	284654	114	500	1	4.38596
1	289419	116	500	1	4.31034
1	289937	116	500	1	4.31034
1	287485	115	500	1	4.34783
1	289760	116	500	1	4.31034
1	296156	119	500	1	4.20168
1	291765	117	500	1	4.2735
1	286482	115	500	1	4.34783
1	287140	115	500	1	4.34783
1	286999	115	500	1	4.34783
1	292208	117	500	1	4.2735
1	288221	116	500	1	4.31034
1	284437	114	500	1	4.38596
1	290491	117	500	1	4.2735
1	295624	119	500	1	4.20168
1	289303	116	500	1	4.31034
1	296059	119	500	1	4.20168
1	293074	118	500	1	4.23729
1	290049	117	500	1	4.2735
1	291771	117	500	1	4.2735
1	292113	117	500	1	4.2735
1	286886	115	500	1	4.34783
1	297406	119	500	1	4.20168
1	301241	121	500	1	4.13223
1	286644	115	500	1	4.34783
1	292499	117	500	1	4.2735
1	288437	116	500	1	4.31034
1	287823	116	500	1	4.31034
1	284044	114	500	1	4.38596
1	297834	120	500	1	4.16667
1	287196	115	500	1	4.34783
1	280372	113	500	1	4.42478
1	290266	117	500	1	4.2735
1	292122	117	500	1	4.2735
1	291458	117	500	1	4.2735
1	288901	116	500	1	4.31034
1	289503	116	500	1	4.31034
1	281731	113	500	1	4.42478
1	285126	115	500	1	4.34783
1	285072	115	500	1	4.34783
1	286679	115	500	1	4.34783
1	295025	119	500	1	4.20168
1	288551	116	500	1	4.31034
1	295620	119	500	1	4.20168
1	286001	115	500	1	4.34783
1	279897	112	500	1	4.46429
1	289370	116	500	1	4.31034
1	283335	114	500	1	4.38596
1	295422	119	500	1	4.20168
1	286494	115	500	1	4.34783
1	286127	115	500	1	4.34783
1	296176	119	500	1	4.20168
1	277579	112	500	1	4.46429
1	279830	112	500	1	4.46429
1	287199	115	500	1	4.34783
1	276170	111	500	1	4.5045
1	279785	112	500	1	4.46429
1	292008	117	500	1	4.2735
1	288028	116	500	1	4.31034
1	294712	118	500	1	4.23729
1	285109	115	500	1	4.34783
1	289649	116	500	1	4.31034
1	287714	116	500	1	4.31034
1	283847	114	500	1	4.38596
1	279413	112	500	1	4.46429
1	282774	114	500	1	4.38596
1	281049	113	500	1	4.42478
1	291385	117	500	1	4.2735
1	288294	116	500	1	4.31034
1	289437	116	500	1	4.31034
1	292764	118	500	1	4.23729
1	287784	116	500	1	4.31034
1	291315	117	500	1	4.2735
1	285880	115	500	1	4.34783
1	292986	118	500	1	4.23729
1	273948	110	500	1	4.54545
1	281017	113	500	1	4.42478
1	295311	119	500	1	4.20168
1	283934	114	500	1	4.38596
1	289128	116	500	1	4.31034
1	290010	117	500	1	4.2735
1	293753	118	500	1	4.23729
1	294801	118	500	1	4.23729
1	278405	112	500	1	4.46429
1	284058	114	500	1	4.38596
1	284286	114	500	1	4.38596
1	273235	110	500	1	4.54545
1	278678	112	500	1	4.46429
1	288332	116	500	1	4.31034
1	284800	114	500	1	4.38596
