100	2500	BasicFFD
d	sum	lb	lbsoln	i/s	opt
1	54369	22	100	1	4.54545
1	56736	23	100	1	4.34783
1	55818	23	100	1	4.34783
1	53232	22	100	1	4.54545
1	56881	23	100	1	4.34783
1	57636	24	100	1	4.16667
1	58906	24	100	1	4.16667
1	58871	24	100	1	4.16667
1	62141	25	100	1	4
1	54006	22	100	1	4.54545
1	58203	24	100	1	4.16667
1	56852	23	100	1	4.34783
1	62516	26	100	1	3.84615
1	57677	24	100	1	4.16667
1	55249	23	100	1	4.34783
1	59751	24	100	1	4.16667
1	54857	22	100	1	4.54545
1	56279	23	100	1	4.34783
1	60568	25	100	1	4
1	57632	24	100	1	4.16667
1	60860	25	100	1	4
1	58720	24	100	1	4.16667
1	60236	25	100	1	4
1	56927	23	100	1	4.34783
1	57077	23	100	1	4.34783
1	59279	24	100	1	4.16667
1	60433	25	100	1	4
1	57027	23	100	1	4.34783
1	57880	24	100	1	4.16667
1	60122	25	100	1	4
1	55450	23	100	1	4.34783
1	53914	22	100	1	4.54545
1	56283	23	100	1	4.34783
1	55411	23	100	1	4.34783
1	58949	24	100	1	4.16667
1	59382	24	100	1	4.16667
1	55420	23	100	1	4.34783
1	62220	25	100	1	4
1	59475	24	100	1	4.16667
1	53713	22	100	1	4.54545
1	54770	22	100	1	4.54545
1	59331	24	100	1	4.16667
1	55592	23	100	1	4.34783
1	60391	25	100	1	4
1	63262	26	100	1	3.84615
1	54280	22	100	1	4.54545
1	59128	24	100	1	4.16667
1	55552	23	100	1	4.34783
1	54654	22	100	1	4.54545
1	57734	24	100	1	4.16667
1	58476	24	100	1	4.16667
1	58120	24	100	1	4.16667
1	54220	22	100	1	4.54545
1	59686	24	100	1	4.16667
1	56255	23	100	1	4.34783
1	58097	24	100	1	4.16667
1	56844	23	100	1	4.34783
1	59846	24	100	1	4.16667
1	58429	24	100	1	4.16667
1	57687	24	100	1	4.16667
1	55721	23	100	1	4.34783
1	60719	25	100	1	4
1	61133	25	100	1	4
1	60170	25	100	1	4
1	57483	23	100	1	4.34783
1	58573	24	100	1	4.16667
1	54171	22	100	1	4.54545
1	53550	22	100	1	4.54545
1	62975	26	100	1	3.84615
1	54587	22	100	1	4.54545
1	56862	23	100	1	4.34783
1	58947	24	100	1	4.16667
1	56002	23	100	1	4.34783
1	53329	22	100	1	4.54545
1	59423	24	100	1	4.16667
1	58200	24	100	1	4.16667
1	55330	23	100	1	4.34783
1	55370	23	100	1	4.34783
1	60161	25	100	1	4
1	57790	24	100	1	4.16667
1	60512	25	100	1	4
1	56219	23	100	1	4.34783
1	59340	24	100	1	4.16667
1	58987	24	100	1	4.16667
1	54056	22	100	1	4.54545
1	52270	21	100	1	4.7619
1	59174	24	100	1	4.16667
1	54196	22	100	1	4.54545
1	54529	22	100	1	4.54545
1	53269	22	100	1	4.54545
1	60036	25	100	1	4
1	58602	24	100	1	4.16667
1	54969	22	100	1	4.54545
1	60944	25	100	1	4
1	56656	23	100	1	4.34783
1	60287	25	100	1	4
1	59065	24	100	1	4.16667
1	54911	22	100	1	4.54545
1	58145	24	100	1	4.16667
1	56055	23	100	1	4.34783
1	55099	23	100	1	4.34783
1	56565	23	100	1	4.34783
1	63660	26	100	1	3.84615
1	57093	23	100	1	4.34783
1	56374	23	100	1	4.34783
1	57895	24	100	1	4.16667
1	55879	23	100	1	4.34783
1	59931	24	100	1	4.16667
1	59447	24	100	1	4.16667
1	52429	21	100	1	4.7619
1	57094	23	100	1	4.34783
1	59697	24	100	1	4.16667
1	54313	22	100	1	4.54545
1	58834	24	100	1	4.16667
1	57361	23	100	1	4.34783
1	57351	23	100	1	4.34783
1	55847	23	100	1	4.34783
1	57370	23	100	1	4.34783
1	58847	24	100	1	4.16667
1	58492	24	100	1	4.16667
1	60313	25	100	1	4
1	54059	22	100	1	4.54545
1	57212	23	100	1	4.34783
1	57935	24	100	1	4.16667
1	57538	24	100	1	4.16667
1	58980	24	100	1	4.16667
1	57744	24	100	1	4.16667
1	57148	23	100	1	4.34783
1	60148	25	100	1	4
1	56164	23	100	1	4.34783
1	55908	23	100	1	4.34783
1	54467	22	100	1	4.54545
1	57917	24	100	1	4.16667
1	53963	22	100	1	4.54545
1	55341	23	100	1	4.34783
1	61818	25	100	1	4
1	60329	25	100	1	4
1	59459	24	100	1	4.16667
1	64198	26	100	1	3.84615
1	54870	22	100	1	4.54545
1	56948	23	100	1	4.34783
1	59799	24	100	1	4.16667
1	54340	22	100	1	4.54545
1	56231	23	100	1	4.34783
1	57069	23	100	1	4.34783
1	58371	24	100	1	4.16667
1	56760	23	100	1	4.34783
1	54983	22	100	1	4.54545
1	60939	25	100	1	4
1	56230	23	100	1	4.34783
1	56038	23	100	1	4.34783
1	57196	23	100	1	4.34783
1	58561	24	100	1	4.16667
1	59327	24	100	1	4.16667
1	55093	23	100	1	4.34783
1	57139	23	100	1	4.34783
1	58539	24	100	1	4.16667
1	56476	23	100	1	4.34783
1	57791	24	100	1	4.16667
1	48298	20	100	1	5
1	59393	24	100	1	4.16667
1	60069	25	100	1	4
1	54073	22	100	1	4.54545
1	59641	24	100	1	4.16667
1	61940	25	100	1	4
1	55203	23	100	1	4.34783
1	58921	24	100	1	4.16667
1	59608	24	100	1	4.16667
1	57449	23	100	1	4.34783
1	59555	24	100	1	4.16667
1	54312	22	100	1	4.54545
1	56856	23	100	1	4.34783
1	59211	24	100	1	4.16667
1	56944	23	100	1	4.34783
1	54287	22	100	1	4.54545
1	56347	23	100	1	4.34783
1	58808	24	100	1	4.16667
1	62349	25	100	1	4
1	56623	23	100	1	4.34783
1	56694	23	100	1	4.34783
1	59924	24	100	1	4.16667
1	58477	24	100	1	4.16667
1	55902	23	100	1	4.34783
1	53420	22	100	1	4.54545
1	56053	23	100	1	4.34783
1	55659	23	100	1	4.34783
1	62165	25	100	1	4
1	57070	23	100	1	4.34783
1	56966	23	100	1	4.34783
1	58749	24	100	1	4.16667
1	53822	22	100	1	4.54545
1	57569	24	100	1	4.16667
1	56495	23	100	1	4.34783
1	59068	24	100	1	4.16667
1	53469	22	100	1	4.54545
1	58442	24	100	1	4.16667
1	58332	24	100	1	4.16667
1	55986	23	100	1	4.34783
1	60923	25	100	1	4
1	54122	22	100	1	4.54545
1	59095	24	100	1	4.16667
1	59560	24	100	1	4.16667
1	62648	26	100	1	3.84615
1	60861	25	100	1	4
1	58513	24	100	1	4.16667
1	54348	22	100	1	4.54545
1	56645	23	100	1	4.34783
1	57894	24	100	1	4.16667
1	57063	23	100	1	4.34783
1	60038	25	100	1	4
1	57098	23	100	1	4.34783
1	55887	23	100	1	4.34783
1	58182	24	100	1	4.16667
1	56260	23	100	1	4.34783
1	57449	23	100	1	4.34783
1	55855	23	100	1	4.34783
1	55060	23	100	1	4.34783
1	57444	23	100	1	4.34783
1	51943	21	100	1	4.7619
1	55384	23	100	1	4.34783
1	58071	24	100	1	4.16667
1	59034	24	100	1	4.16667
1	54888	22	100	1	4.54545
1	55884	23	100	1	4.34783
1	60722	25	100	1	4
1	59624	24	100	1	4.16667
1	56641	23	100	1	4.34783
1	58382	24	100	1	4.16667
1	57047	23	100	1	4.34783
1	60349	25	100	1	4
1	60749	25	100	1	4
1	61812	25	100	1	4
1	55619	23	100	1	4.34783
1	58346	24	100	1	4.16667
1	60905	25	100	1	4
1	59506	24	100	1	4.16667
1	57855	24	100	1	4.16667
1	56845	23	100	1	4.34783
1	57945	24	100	1	4.16667
1	60638	25	100	1	4
1	60759	25	100	1	4
1	54254	22	100	1	4.54545
1	61930	25	100	1	4
1	55445	23	100	1	4.34783
1	55395	23	100	1	4.34783
1	58909	24	100	1	4.16667
1	54867	22	100	1	4.54545
1	62607	26	100	1	3.84615
1	56585	23	100	1	4.34783
1	58247	24	100	1	4.16667
1	63069	26	100	1	3.84615
1	56025	23	100	1	4.34783
1	59147	24	100	1	4.16667
1	58316	24	100	1	4.16667
1	56858	23	100	1	4.34783
1	56749	23	100	1	4.34783
1	59552	24	100	1	4.16667
1	58698	24	100	1	4.16667
1	53768	22	100	1	4.54545
1	58120	24	100	1	4.16667
1	59317	24	100	1	4.16667
1	56555	23	100	1	4.34783
1	56723	23	100	1	4.34783
1	57541	24	100	1	4.16667
1	55136	23	100	1	4.34783
1	59051	24	100	1	4.16667
1	57398	23	100	1	4.34783
1	58817	24	100	1	4.16667
1	54418	22	100	1	4.54545
1	58196	24	100	1	4.16667
1	56702	23	100	1	4.34783
1	61683	25	100	1	4
1	63349	26	100	1	3.84615
1	59480	24	100	1	4.16667
1	54877	22	100	1	4.54545
1	56574	23	100	1	4.34783
1	59876	24	100	1	4.16667
1	59055	24	100	1	4.16667
1	58720	24	100	1	4.16667
1	55918	23	100	1	4.34783
1	56755	23	100	1	4.34783
1	54451	22	100	1	4.54545
1	58714	24	100	1	4.16667
1	58178	24	100	1	4.16667
1	57293	23	100	1	4.34783
1	51932	21	100	1	4.7619
1	58655	24	100	1	4.16667
1	57497	23	100	1	4.34783
1	60555	25	100	1	4
1	59312	24	100	1	4.16667
1	56345	23	100	1	4.34783
1	57088	23	100	1	4.34783
1	63731	26	100	1	3.84615
1	60412	25	100	1	4
1	57939	24	100	1	4.16667
1	55197	23	100	1	4.34783
1	57674	24	100	1	4.16667
1	61424	25	100	1	4
1	58261	24	100	1	4.16667
1	56945	23	100	1	4.34783
1	53482	22	100	1	4.54545
1	56747	23	100	1	4.34783
1	59374	24	100	1	4.16667
1	59846	24	100	1	4.16667
1	53465	22	100	1	4.54545
1	59948	24	100	1	4.16667
1	54905	22	100	1	4.54545
1	54370	22	100	1	4.54545
1	59213	24	100	1	4.16667
1	52996	22	100	1	4.54545
1	59107	24	100	1	4.16667
1	60434	25	100	1	4
1	59391	24	100	1	4.16667
1	58172	24	100	1	4.16667
1	55128	23	100	1	4.34783
1	56248	23	100	1	4.34783
1	61433	25	100	1	4
1	58628	24	100	1	4.16667
1	59223	24	100	1	4.16667
1	57965	24	100	1	4.16667
1	54219	22	100	1	4.54545
1	53955	22	100	1	4.54545
1	59475	24	100	1	4.16667
1	55568	23	100	1	4.34783
1	59116	24	100	1	4.16667
1	54879	22	100	1	4.54545
1	61370	25	100	1	4
1	55346	23	100	1	4.34783
1	57505	24	100	1	4.16667
1	56029	23	100	1	4.34783
1	54195	22	100	1	4.54545
1	58566	24	100	1	4.16667
1	55872	23	100	1	4.34783
1	60286	25	100	1	4
1	59954	24	100	1	4.16667
1	54306	22	100	1	4.54545
1	60543	25	100	1	4
1	57926	24	100	1	4.16667
1	59350	24	100	1	4.16667
1	52016	21	100	1	4.7619
1	56237	23	100	1	4.34783
1	57696	24	100	1	4.16667
1	55537	23	100	1	4.34783
1	56353	23	100	1	4.34783
1	60049	25	100	1	4
1	56616	23	100	1	4.34783
1	58782	24	100	1	4.16667
1	60455	25	100	1	4
1	55392	23	100	1	4.34783
1	53447	22	100	1	4.54545
1	54697	22	100	1	4.54545
1	58289	24	100	1	4.16667
1	58259	24	100	1	4.16667
1	51703	21	100	1	4.7619
1	57456	23	100	1	4.34783
1	58129	24	100	1	4.16667
1	58583	24	100	1	4.16667
1	56517	23	100	1	4.34783
1	55411	23	100	1	4.34783
1	55733	23	100	1	4.34783
1	55927	23	100	1	4.34783
1	57383	23	100	1	4.34783
1	56492	23	100	1	4.34783
1	56640	23	100	1	4.34783
1	54554	22	100	1	4.54545
1	64447	26	100	1	3.84615
1	58209	24	100	1	4.16667
1	56828	23	100	1	4.34783
1	58535	24	100	1	4.16667
1	55291	23	100	1	4.34783
1	57961	24	100	1	4.16667
1	60090	25	100	1	4
1	59139	24	100	1	4.16667
1	57086	23	100	1	4.34783
1	58105	24	100	1	4.16667
1	57123	23	100	1	4.34783
1	55612	23	100	1	4.34783
1	56374	23	100	1	4.34783
1	58463	24	100	1	4.16667
1	52750	22	100	1	4.54545
1	54717	22	100	1	4.54545
1	57121	23	100	1	4.34783
1	54985	22	100	1	4.54545
1	65464	27	100	1	3.7037
1	61494	25	100	1	4
1	59973	24	100	1	4.16667
1	62872	26	100	1	3.84615
1	53537	22	100	1	4.54545
1	57120	23	100	1	4.34783
1	60119	25	100	1	4
1	56098	23	100	1	4.34783
1	55784	23	100	1	4.34783
1	62533	26	100	1	3.84615
1	60767	25	100	1	4
1	58968	24	100	1	4.16667
1	63026	26	100	1	3.84615
1	55466	23	100	1	4.34783
1	60682	25	100	1	4
1	53732	22	100	1	4.54545
1	61277	25	100	1	4
1	58722	24	100	1	4.16667
1	56951	23	100	1	4.34783
1	58339	24	100	1	4.16667
1	58857	24	100	1	4.16667
1	55545	23	100	1	4.34783
1	59779	24	100	1	4.16667
1	56126	23	100	1	4.34783
1	57554	24	100	1	4.16667
1	58815	24	100	1	4.16667
1	52303	21	100	1	4.7619
1	57327	23	100	1	4.34783
1	62239	25	100	1	4
1	61893	25	100	1	4
