500	5000	BasicFFD
d	sum	lb	lbsoln	i/s	opt
1	290320	59	500	1	8.47458
1	289126	58	500	1	8.62069
1	288623	58	500	1	8.62069
1	294851	59	500	1	8.47458
1	288117	58	500	1	8.62069
1	287024	58	500	1	8.62069
1	287832	58	500	1	8.62069
1	285234	58	500	1	8.62069
1	289418	58	500	1	8.62069
1	284855	57	500	1	8.77193
1	285878	58	500	1	8.62069
1	285512	58	500	1	8.62069
1	290761	59	500	1	8.47458
1	287459	58	500	1	8.62069
1	280319	57	500	1	8.77193
1	287531	58	500	1	8.62069
1	283764	57	500	1	8.77193
1	299333	60	500	1	8.33333
1	290740	59	500	1	8.47458
1	293643	59	500	1	8.47458
1	277178	56	500	1	8.92857
1	291115	59	500	1	8.47458
1	299461	60	500	1	8.33333
1	289453	58	500	1	8.62069
1	292318	59	500	1	8.47458
1	295554	60	500	1	8.33333
1	280174	57	500	1	8.77193
1	290260	59	500	1	8.47458
1	286294	58	500	1	8.62069
1	278884	56	500	1	8.92857
1	289368	58	500	1	8.62069
1	296875	60	500	1	8.33333
1	292131	59	500	1	8.47458
1	277033	56	500	1	8.92857
1	286471	58	500	1	8.62069
1	280559	57	500	1	8.77193
1	274395	55	500	1	9.09091
1	285655	58	500	1	8.62069
1	276810	56	500	1	8.92857
1	285778	58	500	1	8.62069
1	286534	58	500	1	8.62069
1	292171	59	500	1	8.47458
1	305584	62	500	1	8.06452
1	289178	58	500	1	8.62069
1	285472	58	500	1	8.62069
1	278638	56	500	1	8.92857
1	288493	58	500	1	8.62069
1	295248	60	500	1	8.33333
1	287258	58	500	1	8.62069
1	278790	56	500	1	8.92857
1	287096	58	500	1	8.62069
1	289055	58	500	1	8.62069
1	284387	57	500	1	8.77193
1	284904	57	500	1	8.77193
1	291408	59	500	1	8.47458
1	288905	58	500	1	8.62069
1	298256	60	500	1	8.33333
1	293201	59	500	1	8.47458
1	283648	57	500	1	8.77193
1	282954	57	500	1	8.77193
1	292691	59	500	1	8.47458
1	288040	58	500	1	8.62069
1	290617	59	500	1	8.47458
1	293455	59	500	1	8.47458
1	287476	58	500	1	8.62069
1	286063	58	500	1	8.62069
1	284786	57	500	1	8.77193
1	285436	58	500	1	8.62069
1	285253	58	500	1	8.62069
1	273468	55	500	1	9.09091
1	291632	59	500	1	8.47458
1	283591	57	500	1	8.77193
1	286746	58	500	1	8.62069
1	299263	60	500	1	8.33333
1	288342	58	500	1	8.62069
1	284654	57	500	1	8.77193
1	289419	58	500	1	8.62069
1	289937	58	500	1	8.62069
1	287485	58	500	1	8.62069
1	289760	58	500	1	8.62069
1	296156	60	500	1	8.33333
1	291765	59	500	1	8.47458
1	286482	58	500	1	8.62069
1	287140	58	500	1	8.62069
1	286999	58	500	1	8.62069
1	292208	59	500	1	8.47458
1	288221	58	500	1	8.62069
1	284437	57	500	1	8.77193
1	290491	59	500	1	8.47458
1	295624	60	500	1	8.33333
1	289303	58	500	1	8.62069
1	296059	60	500	1	8.33333
1	293074	59	500	1	8.47458
1	290049	59	500	1	8.47458
1	291771	59	500	1	8.47458
1	292113	59	500	1	8.47458
1	286886	58	500	1	8.62069
1	297406	60	500	1	8.33333
1	301241	61	500	1	8.19672
1	286644	58	500	1	8.62069
1	292499	59	500	1	8.47458
1	288437	58	500	1	8.62069
1	287823	58	500	1	8.62069
1	284044	57	500	1	8.77193
1	297834	60	500	1	8.33333
1	287196	58	500	1	8.62069
1	280372	57	500	1	8.77193
1	290266	59	500	1	8.47458
1	292122	59	500	1	8.47458
1	291458	59	500	1	8.47458
1	288901	58	500	1	8.62069
1	289503	58	500	1	8.62069
1	281731	57	500	1	8.77193
1	285126	58	500	1	8.62069
1	285072	58	500	1	8.62069
1	286679	58	500	1	8.62069
1	295025	60	500	1	8.33333
1	288551	58	500	1	8.62069
1	295620	60	500	1	8.33333
1	286001	58	500	1	8.62069
1	279897	56	500	1	8.92857
1	289370	58	500	1	8.62069
1	283335	57	500	1	8.77193
1	295422	60	500	1	8.33333
1	286494	58	500	1	8.62069
1	286127	58	500	1	8.62069
1	296176	60	500	1	8.33333
1	277579	56	500	1	8.92857
1	279830	56	500	1	8.92857
1	287199	58	500	1	8.62069
1	276170	56	500	1	8.92857
1	279785	56	500	1	8.92857
1	292008	59	500	1	8.47458
1	288028	58	500	1	8.62069
1	294712	59	500	1	8.47458
1	285109	58	500	1	8.62069
1	289649	58	500	1	8.62069
1	287714	58	500	1	8.62069
1	283847	57	500	1	8.77193
1	279413	56	500	1	8.92857
1	282774	57	500	1	8.77193
1	281049	57	500	1	8.77193
1	291385	59	500	1	8.47458
1	288294	58	500	1	8.62069
1	289437	58	500	1	8.62069
1	292764	59	500	1	8.47458
1	287784	58	500	1	8.62069
1	291315	59	500	1	8.47458
1	285880	58	500	1	8.62069
1	292986	59	500	1	8.47458
1	273948	55	500	1	9.09091
1	281017	57	500	1	8.77193
1	295311	60	500	1	8.33333
1	283934	57	500	1	8.77193
1	289128	58	500	1	8.62069
1	290010	59	500	1	8.47458
1	293753	59	500	1	8.47458
1	294801	59	500	1	8.47458
1	278405	56	500	1	8.92857
1	284058	57	500	1	8.77193
