1000	2500	PairSmallest
d	sum	lb	lbsoln	i/s	opt
1	568881	228	1000	1	4.38596
1	568299	228	1000	1	4.38596
1	582209	233	1000	1	4.29185
1	571434	229	1000	1	4.36681
1	580037	233	1000	1	4.29185
1	579180	232	1000	1	4.31034
1	573669	230	1000	1	4.34783
1	578109	232	1000	1	4.31034
1	577857	232	1000	1	4.31034
1	571838	229	1000	1	4.36681
1	585580	235	1000	1	4.25532
1	590001	237	1000	1	4.21941
1	582280	233	1000	1	4.29185
1	571835	229	1000	1	4.36681
1	577675	232	1000	1	4.31034
1	565423	227	1000	1	4.40529
1	569452	228	1000	1	4.38596
1	579454	232	1000	1	4.31034
1	600028	241	1000	1	4.14938
1	568011	228	1000	1	4.38596
1	585038	235	1000	1	4.25532
1	572319	229	1000	1	4.36681
1	570236	229	1000	1	4.36681
1	576068	231	1000	1	4.329
1	562231	225	1000	1	4.44444
1	561361	225	1000	1	4.44444
1	566107	227	1000	1	4.40529
1	573327	230	1000	1	4.34783
1	586755	235	1000	1	4.25532
1	588413	236	1000	1	4.23729
1	570390	229	1000	1	4.36681
1	572730	230	1000	1	4.34783
1	568744	228	1000	1	4.38596
1	574401	230	1000	1	4.34783
1	586626	235	1000	1	4.25532
1	573975	230	1000	1	4.34783
1	572749	230	1000	1	4.34783
1	585102	235	1000	1	4.25532
1	584845	234	1000	1	4.2735
1	584205	234	1000	1	4.2735
1	592828	238	1000	1	4.20168
1	577932	232	1000	1	4.31034
1	570368	229	1000	1	4.36681
1	589873	236	1000	1	4.23729
1	572709	230	1000	1	4.34783
1	579976	232	1000	1	4.31034
1	583618	234	1000	1	4.2735
1	572177	229	1000	1	4.36681
1	570829	229	1000	1	4.36681
1	576550	231	1000	1	4.329
1	584626	234	1000	1	4.2735
1	590665	237	1000	1	4.21941
1	583686	234	1000	1	4.2735
1	580319	233	1000	1	4.29185
1	586270	235	1000	1	4.25532
1	578007	232	1000	1	4.31034
1	575508	231	1000	1	4.329
1	578648	232	1000	1	4.31034
1	573008	230	1000	1	4.34783
1	573061	230	1000	1	4.34783
1	584833	234	1000	1	4.2735
1	584658	234	1000	1	4.2735
1	563117	226	1000	1	4.42478
1	568725	228	1000	1	4.38596
1	572097	229	1000	1	4.36681
1	577831	232	1000	1	4.31034
1	576273	231	1000	1	4.329
1	588730	236	1000	1	4.23729
1	565834	227	1000	1	4.40529
1	577218	231	1000	1	4.329
1	583021	234	1000	1	4.2735
1	577708	232	1000	1	4.31034
1	573861	230	1000	1	4.34783
1	571123	229	1000	1	4.36681
1	584487	234	1000	1	4.2735
1	571737	229	1000	1	4.36681
1	554659	222	1000	1	4.5045
1	568655	228	1000	1	4.38596
1	564642	226	1000	1	4.42478
1	566130	227	1000	1	4.40529
1	569733	228	1000	1	4.38596
1	566712	227	1000	1	4.40529
1	573082	230	1000	1	4.34783
1	582872	234	1000	1	4.2735
1	573336	230	1000	1	4.34783
1	574913	230	1000	1	4.34783
1	575662	231	1000	1	4.329
1	573431	230	1000	1	4.34783
1	566722	227	1000	1	4.40529
1	571653	229	1000	1	4.36681
1	564301	226	1000	1	4.42478
1	585954	235	1000	1	4.25532
1	582338	233	1000	1	4.29185
1	579970	232	1000	1	4.31034
1	597963	240	1000	1	4.16667
1	580358	233	1000	1	4.29185
1	582575	234	1000	1	4.2735
1	579795	232	1000	1	4.31034
1	566071	227	1000	1	4.40529
1	568929	228	1000	1	4.38596
1	572886	230	1000	1	4.34783
1	582306	233	1000	1	4.29185
1	582339	233	1000	1	4.29185
1	579656	232	1000	1	4.31034
1	578444	232	1000	1	4.31034
1	582773	234	1000	1	4.2735
1	563963	226	1000	1	4.42478
1	584305	234	1000	1	4.2735
1	584235	234	1000	1	4.2735
1	570616	229	1000	1	4.36681
1	567053	227	1000	1	4.40529
1	570958	229	1000	1	4.36681
1	581647	233	1000	1	4.29185
1	571462	229	1000	1	4.36681
1	588582	236	1000	1	4.23729
1	571295	229	1000	1	4.36681
1	583695	234	1000	1	4.2735
1	587154	235	1000	1	4.25532
1	576733	231	1000	1	4.329
1	571793	229	1000	1	4.36681
1	572295	229	1000	1	4.36681
1	585467	235	1000	1	4.25532
1	568919	228	1000	1	4.38596
1	575698	231	1000	1	4.329
1	592642	238	1000	1	4.20168
1	574918	230	1000	1	4.34783
1	577212	231	1000	1	4.329
1	570454	229	1000	1	4.36681
1	567783	228	1000	1	4.38596
1	577518	232	1000	1	4.31034
1	573643	230	1000	1	4.34783
1	578873	232	1000	1	4.31034
1	583149	234	1000	1	4.2735
1	584647	234	1000	1	4.2735
1	591107	237	1000	1	4.21941
1	565693	227	1000	1	4.40529
1	578860	232	1000	1	4.31034
1	580170	233	1000	1	4.29185
1	575262	231	1000	1	4.329
1	577470	231	1000	1	4.329
1	589123	236	1000	1	4.23729
1	569126	228	1000	1	4.38596
1	564367	226	1000	1	4.42478
1	586011	235	1000	1	4.25532
1	574249	230	1000	1	4.34783
1	567424	227	1000	1	4.40529
1	579802	232	1000	1	4.31034
1	581309	233	1000	1	4.29185
1	559521	224	1000	1	4.46429
1	574727	230	1000	1	4.34783
1	565744	227	1000	1	4.40529
1	565477	227	1000	1	4.40529
1	563365	226	1000	1	4.42478
1	572057	229	1000	1	4.36681
1	578619	232	1000	1	4.31034
1	576929	231	1000	1	4.329
1	568298	228	1000	1	4.38596
1	570470	229	1000	1	4.36681
1	573992	230	1000	1	4.34783
1	574634	230	1000	1	4.34783
1	559264	224	1000	1	4.46429
1	568421	228	1000	1	4.38596
1	576365	231	1000	1	4.329
1	571333	229	1000	1	4.36681
1	555174	223	1000	1	4.4843
1	588761	236	1000	1	4.23729
1	579097	232	1000	1	4.31034
1	572729	230	1000	1	4.34783
1	567053	227	1000	1	4.40529
1	579732	232	1000	1	4.31034
1	578262	232	1000	1	4.31034
1	578804	232	1000	1	4.31034
1	582081	233	1000	1	4.29185
1	576097	231	1000	1	4.329
1	568424	228	1000	1	4.38596
1	574741	230	1000	1	4.34783
1	580926	233	1000	1	4.29185
1	575428	231	1000	1	4.329
1	587142	235	1000	1	4.25532
1	577642	232	1000	1	4.31034
1	574096	230	1000	1	4.34783
1	582718	234	1000	1	4.2735
1	585829	235	1000	1	4.25532
1	585382	235	1000	1	4.25532
1	570509	229	1000	1	4.36681
1	576986	231	1000	1	4.329
1	575432	231	1000	1	4.329
1	576631	231	1000	1	4.329
1	569416	228	1000	1	4.38596
1	572958	230	1000	1	4.34783
1	566795	227	1000	1	4.40529
1	565667	227	1000	1	4.40529
1	583370	234	1000	1	4.2735
1	579496	232	1000	1	4.31034
1	576822	231	1000	1	4.329
1	570403	229	1000	1	4.36681
1	595382	239	1000	1	4.1841
1	570912	229	1000	1	4.36681
1	572537	230	1000	1	4.34783
1	577243	231	1000	1	4.329
1	567314	227	1000	1	4.40529
1	565669	227	1000	1	4.40529
1	576670	231	1000	1	4.329
1	565746	227	1000	1	4.40529
1	582472	233	1000	1	4.29185
1	570146	229	1000	1	4.36681
1	582123	233	1000	1	4.29185
1	567475	227	1000	1	4.40529
1	578205	232	1000	1	4.31034
1	570317	229	1000	1	4.36681
1	580695	233	1000	1	4.29185
1	593495	238	1000	1	4.20168
1	569069	228	1000	1	4.38596
1	568779	228	1000	1	4.38596
1	580318	233	1000	1	4.29185
1	576003	231	1000	1	4.329
1	592344	237	1000	1	4.21941
1	585252	235	1000	1	4.25532
1	560852	225	1000	1	4.44444
1	576285	231	1000	1	4.329
1	575427	231	1000	1	4.329
1	581017	233	1000	1	4.29185
1	562475	225	1000	1	4.44444
1	573439	230	1000	1	4.34783
1	570500	229	1000	1	4.36681
1	574939	230	1000	1	4.34783
1	577768	232	1000	1	4.31034
1	569014	228	1000	1	4.38596
1	575632	231	1000	1	4.329
1	568442	228	1000	1	4.38596
1	575761	231	1000	1	4.329
1	580277	233	1000	1	4.29185
1	576248	231	1000	1	4.329
1	570341	229	1000	1	4.36681
1	579099	232	1000	1	4.31034
1	578690	232	1000	1	4.31034
1	568375	228	1000	1	4.38596
1	583342	234	1000	1	4.2735
1	566491	227	1000	1	4.40529
1	582427	233	1000	1	4.29185
1	568113	228	1000	1	4.38596
1	569652	228	1000	1	4.38596
1	587051	235	1000	1	4.25532
1	571731	229	1000	1	4.36681
1	584834	234	1000	1	4.2735
1	571520	229	1000	1	4.36681
1	573241	230	1000	1	4.34783
1	584234	234	1000	1	4.2735
1	568983	228	1000	1	4.38596
1	563323	226	1000	1	4.42478
1	567840	228	1000	1	4.38596
1	554729	222	1000	1	4.5045
1	571225	229	1000	1	4.36681
1	579858	232	1000	1	4.31034
1	575017	231	1000	1	4.329
1	572993	230	1000	1	4.34783
1	571579	229	1000	1	4.36681
1	580264	233	1000	1	4.29185
1	559202	224	1000	1	4.46429
1	581532	233	1000	1	4.29185
1	590705	237	1000	1	4.21941
1	581470	233	1000	1	4.29185
1	578134	232	1000	1	4.31034
1	565246	227	1000	1	4.40529
1	577051	231	1000	1	4.329
1	578921	232	1000	1	4.31034
1	577351	231	1000	1	4.329
1	578579	232	1000	1	4.31034
1	575721	231	1000	1	4.329
1	583926	234	1000	1	4.2735
1	570884	229	1000	1	4.36681
1	570744	229	1000	1	4.36681
1	571143	229	1000	1	4.36681
1	576414	231	1000	1	4.329
